WMT Close,WMT Volume,EMA 12,EMA 26,MACD,RSI,VWMA
66.8125,0.083699,66.86818500866764,64.44321117628205,2.4249738323855894,0.5683764084475471,65.11585286422917
64.3125,0.067451,66.47500269964185,64.43352886692783,2.0414738327140185,0.500729371216287,65.30632365375723
63.0,0.070187,65.94038689969695,64.3273415434517,1.6130453562452516,0.4691591983955177,65.53822177159142
63.6875,0.065445,65.59378891512819,64.27994587356639,1.313843041561796,0.48739053816125694,65.68564658475653
68.5,0.079769,66.04089831280078,64.59254247552444,1.4483558372763383,0.5928125685212042,66.08574779877794
67.25,0.067143,66.22691395698527,64.78939118104114,1.4375227759441316,0.5605651603794903,66.431643556313
66.25,0.049433,66.23046565591062,64.89758442688995,1.3328812290206713,0.5354701517556927,66.30294239917704
65.0625,0.04085,66.05077863192437,64.90980039526848,1.1409782366558971,0.5064742311275172,66.21168684536809
65.125,0.05021,65.90835115008986,64.92574110673007,0.9826100433597844,0.5079843517305285,66.1776636785765
64.5,0.063122,65.69168174238372,64.89420472845377,0.7974770139299494,0.4917790722381759,65.9001367599388
65.5625,0.064422,65.67180762817084,64.94370808190163,0.7280995462692061,0.5198231409615347,66.00541160326195
64.0625,0.048199,65.42422183922147,64.87843340916818,0.5457884300532925,0.4795881485175185,66.02042542564594
63.375,0.057381,65.10895694087971,64.76706797145202,0.34188896942768565,0.4619399662623315,65.92856720249038
62.4375,0.069525,64.69796356535976,64.5945073809741,0.10345618438566362,0.4382566088569741,65.71133866078145
59.375,0.077999,63.87904609376595,64.20787720460564,-0.32883111083968686,0.3712897151669872,65.21077587868862
61.125,0.064038,63.45534669472504,63.97951593019041,-0.5241692354653722,0.42532763563277165,64.78238363348375
61.9375,0.045384,63.221831818613495,63.828255490917044,-0.6064236723035492,0.4490066920064427,64.52810380659965
59.125,0.073233,62.59155000036527,63.47986619529355,-0.8883161949282865,0.38922136667404333,64.13372669730374
55.125,0.140294,61.44285000030907,62.860987217864405,-1.4181372175553335,0.3232907414840994,63.08582319150428
54.75,0.079727,60.413180769492286,62.26017334987445,-1.8469925803821639,0.31785479407296924,62.50227000923012
58.6875,0.08359,60.147691420339626,61.99553087951338,-1.8478394591737555,0.4268324698902277,62.001579303699266
58.375,0.060346,59.874969663364304,61.727343406956834,-1.8523737435925298,0.4210828073200017,61.72406741813098
58.375,0.06999,59.6442050997698,61.47902167310818,-1.8348165733383794,0.4210828073200017,61.48411844493001
