HON Close,HON Volume,EMA 12,EMA 26,MACD,RSI,VWMA
54.044136,0.022034,54.493751830033595,55.29515718140389,-0.8014053513702919,0.4570928074079218,55.05915944512382
53.090767,0.028008,54.277908010028426,55.13186901981841,-0.8539610097899839,0.4297413774470578,54.88565480831317
52.37574,0.031211,53.98526677771636,54.92771131464667,-0.94244453693031,0.4099292699010526,54.55497090074588
53.388695,0.025047,53.893486504221535,54.813710106154325,-0.9202236019327898,0.44870499745903625,54.40242797850171
56.248802,0.041362,54.2558427343413,54.92001320940216,-0.6641704750608568,0.5405174726754489,54.44184043371586
56.54673,0.015391,54.60828692905802,55.04051074944644,-0.43222382038842255,0.5489442513234972,54.44792777110065
56.129631,0.0277,54.8423398630491,55.12118632356152,-0.278846460512419,0.5341740014454028,54.44186973572991
56.665901,0.021462,55.12288773027232,55.23560963292733,-0.11272190265501081,0.5509051855753485,54.4218276716488
57.083,0.016193,55.424443464076575,55.3724533638216,0.05199010025497586,0.5640213985134996,54.379295742978904
57.083,0.026734,55.679606008064795,55.49916052205704,0.18044548600775556,0.5640213985134995,54.32758049121285
56.248802,0.033399,55.76717462220867,55.55468952042319,0.2124851017854823,0.5282366236620685,54.015213695281815
51.720295,0.119686,55.14457775725349,55.270660296688135,-0.1260825394346483,0.38531709677429116,53.65869281459742
50.409412,0.054471,54.41609071767603,54.91056783026679,-0.494477112590765,0.3553456545431644,53.331789206881226
48.919773,0.053129,53.5705033764951,54.466805250247035,-0.8963018737519377,0.32446029203698096,53.158703027945
45.523396,0.072841,52.33248685703431,53.80433049096948,-1.4718436339351655,0.26739473222636184,52.413277658708324
45.344639,0.052907,51.257433340567495,53.17768667682359,-1.9202533362560956,0.26475542922467266,51.924640167579334
45.404224,0.050037,50.3569395958648,52.60187462668851,-2.2449350308237115,0.26735134579238645,51.42593289433667
44.093342,0.049202,49.39330919650098,51.971612950637514,-2.5783037541365346,0.2467135528348202,50.906115986774
43.080387,0.032936,48.42209039703929,51.313003620960664,-2.8909132239213733,0.23182178174564322,50.5330816707145
45.761738,0.035585,48.012805412879395,50.901798760148765,-2.88899334726937,0.3445961786153466,50.270168136014135
45.285053,0.029899,47.593151195513336,50.485743518656264,-2.892592323142928,0.3351754767262692,49.98602035656388
46.00008,0.027259,47.34806331928051,50.153472146903944,-2.805408827623431,0.3632936823114344,49.74643403458138
45.285053,0.025646,47.03067711631428,49.79284850639254,-2.762171390078258,0.34746738568948443,49.50413136009994
