^IXIC Close,^IXIC Volume,EMA 12,EMA 26,MACD,RSI,VWMA
4131.149902,15.1007,3942.0499674569082,3749.098031818219,192.95193563868906,0.8670342284984744,3780.63486508384
3901.689941,15.1184,3935.840732617384,3760.4011362020547,175.43959641532956,0.607418865058122,3798.3905878974933
3877.540039,17.3567,3926.8713951377867,3769.0780919648655,157.79330317292124,0.5874808907498984,3814.748799929678
3727.129883,15.9832,3896.1419317319733,3765.9708172267274,130.1711145052459,0.48147840660351027,3823.2735131045224
3882.620117,16.3493,3894.061652542439,3774.611506098822,119.45014644361709,0.5682146885156616,3841.1144487509296
4049.669922,16.9171,3918.001386305141,3794.9862035729834,123.01518273215743,0.6382301375664434,3865.8553981993555
3921.189941,16.9446,3918.491933181273,3804.334628567577,114.15730461369594,0.5626606109562146,3880.6266772634626
3850.02002,15.259,3907.9577926918464,3807.7187316366453,100.23906105520109,0.5255395402837199,3896.27686580162
3957.209961,14.7697,3915.5350493546393,3818.7921560339305,96.74289332070884,0.5714028594009611,3915.393546925275
4064.27002,16.5663,3938.417352530849,3836.9757015128985,101.44165101795033,0.611768711043362,3934.044253418948
4130.810059,15.8523,3968.0162304491796,3858.741209474906,109.2750209742735,0.6347909041274432,3954.90298476445
4151.290039,16.5221,3996.2122009954596,3880.411493143432,115.8007078520277,0.6418309481661094,3973.950491657166
4189.509766,18.513,4025.950287919235,3903.3076615031778,122.64262641605728,0.6551894297744826,3990.76227628385
4235.399902,19.2368,4058.173305470122,3927.907086725165,130.2662187449573,0.671053365255927,4009.2339918941684
4096.080078,19.8905,4064.005116628565,3940.3643453381155,123.64077129044927,0.5833110967834766,4016.568155441627
4167.410156,17.4363,4079.9135842241703,3957.1825535352923,122.73103068887804,0.6113315739386513,4026.5713014868
4069.909912,17.17,4078.3745577281443,3965.5327282363814,112.84182949176284,0.5562678892772525,4031.0686278179187
4039.560059,17.9846,4072.403096385353,3971.0162342188714,101.38686216648148,0.5399640873107964,4031.169160883451
3887.070068,16.1637,4043.8903227876062,3964.7979996841404,79.09232310346579,0.4660529930157179,4023.847997960778
3940.350098,15.0763,4027.9610574356666,3962.987044003834,64.97401343183265,0.4922070593252875,4019.043524905477
4051.97998,13.9824,4031.656276291718,3969.5791133368834,62.07716295483442,0.5427431845233269,4015.343787388646
4073.959961,15.2788,4038.1645354776074,3977.3110279785956,60.85350749901181,0.5521933060272324,4023.1872320317516
4210.97998,17.2233,4064.7515269425908,3994.6198392394404,70.13168770315042,0.6067543339854692,4040.485435622404
4244.140137,17.5145,4092.3497746437306,4013.1028242587413,79.2469503849893,0.6188574348700379,4066.1101759813114
4321.77002,16.2554,4127.6451970062335,4035.967060980316,91.67813602591741,0.6463023516132812,4087.499037868592
4427.5,19.7118,4173.776705159121,4064.9695009077,108.8072042514209,0.6800898745186741,4109.26266446508
4363.240234,17.7559,4202.92494036541,4087.063629284907,115.86131108050313,0.6400698609247385,4132.02217459713
4485.629883,18.1359,4246.418008463039,4116.587055486025,129.83095297701402,0.6788340458389672,4163.443935928722
4395.450195,17.3859,4269.346037161033,4137.243584338912,132.10245282212054,0.6253885522726652,4184.044931340677
4418.549805,16.0085,4292.300462982413,4158.08108216566,134.21938081675307,0.633351574059818,4200.769885679433
4420.77002,17.0893,4312.065010215888,4177.5395220052405,134.52548821064738,0.6341565209849913,4214.909233860462
4427.649902,17.8213,4329.847301259598,4196.066216819668,133.78108443993005,0.6368173268075421,4228.91953136146
4548.919922,20.0844,4363.550781373506,4222.203528314507,141.34725305899883,0.6808762727234017,4249.531551535896
4411.740234,18.9841,4370.964543316043,4236.24328429121,134.72125902483276,0.5932089539203854,4259.190596220517
4382.120117,17.7229,4372.6807854212675,4247.048975602973,125.63180981829464,0.5759645988242597,4274.919275391259
4550.330078,18.928,4400.011445817996,4269.514242447197,130.49720337079907,0.639971370196703,4295.387100081378
4617.649902,19.4405,4433.494285230612,4295.302069080738,138.19221614987418,0.6619633125140203,4324.4689133781485
4590.5,18.255,4457.649010579748,4317.168582482165,140.48042809758317,0.6448553290792,4353.08088905007
4577.850098,17.9807,4476.141485567479,4336.478324372375,139.6631611951043,0.6365999864360248,4386.089488090192
4696.689941,20.8884,4510.072017172482,4363.160666344792,146.9113508276905,0.6782700271265022,4423.144217874362
4784.080078,22.3234,4552.227103453639,4394.339882022956,157.88722143068298,0.7050535213402922,4459.458686605744
4754.509766,21.3708,4583.347513076156,4421.019132687922,162.3283803882341,0.6842949612816599,4492.341116330462
4914.790039,21.3653,4634.3386709105935,4457.594755377706,176.7439155328875,0.7305957538611498,4529.3301869099805
4904.850098,20.1558,4675.955813539733,4490.724780757135,185.23103278259805,0.7235091306118601,4562.597558542587
4847.839844,21.5641,4702.39951053362,4517.177748404754,185.22176212886552,0.6826122546482467,4588.880788485918
4897.259766,20.2013,4732.378011374602,4545.331971930328,187.04603944427345,0.6985210353854066,4613.422397134848
5046.859863,20.0681,4780.7598347015855,4582.482186083637,198.27764861794822,0.7408646481524943,4647.485050652012
5048.620117,19.9217,4821.969108901342,4617.010921707072,204.95818719427007,0.7413250249825452,4675.678609541125
4907.240234,17.3627,4835.087743531905,4638.509389284326,196.57835424757923,0.6425808404881578,4698.62499729722
4706.629883,19.7782,4815.3249957577655,4643.555351781783,171.76964397598204,0.533908274587549,4710.487595740119
4582.620117,19.378,4779.524245179648,4639.0416306868365,140.48261449281108,0.47988101365285124,4716.771355567346
4717.390137,20.4151,4769.965151613548,4644.845223747071,125.11992786647716,0.534956910968988,4729.8084645326135
