^DJI Close,^DJI Volume,EMA 12,EMA 26,MACD,RSI,VWMA
11357.509766,1.6975,11354.783965949446,11221.837620865092,132.9463450843541,0.5812034989682451,11240.94814234666
10997.929688,1.7842,11299.883307803379,11205.25184806027,94.63145974310828,0.413854804509057,11226.899039762939
11122.650391,2.0319,11272.616705218243,11199.13322161136,73.48348360688215,0.4707744897689612,11226.610770234895
11253.259766,1.7655,11269.638714569282,11203.14259526978,66.49611929950333,0.5230122980150705,11236.055588185209
11522.55957,1.849,11308.549615404776,11226.803111916463,81.74650348831346,0.6087618310498819,11259.704188771959
11572.200195,1.6818,11349.11124303481,11252.388081033761,96.72316200104797,0.6222428632679285,11279.205802862683
11511.080078,1.773,11374.029525337146,11271.55045117941,102.47907415773625,0.5950552646111167,11297.071310648109
11551.099609,1.9406,11401.271076669893,11292.257796203157,109.01328046673552,0.6071584812945121,11322.479479116655
11582.429688,1.7491,11429.14163225914,11313.75201041033,115.38962184880984,0.6168142874300921,11345.514793250177
11722.980469,2.6683,11474.347607142348,11344.06522956512,130.28237757722854,0.6574871284952531,11384.987723135147
11560.719727,2.0022,11487.635625581986,11360.113710856593,127.5219147253938,0.580836771390781,11408.65200163916
11489.360352,1.9309,11487.900968107835,11369.687536126474,118.21343198136128,0.5504445286000874,11425.268996466455
11351.299805,1.9123,11466.885404552784,11368.325481968957,98.55992258382685,0.4963335357196926,11430.999954513403
11251.709961,2.0584,11433.781490160049,11359.687295230517,74.09419492953202,0.4611195167872883,11427.611660695089
11008.169922,2.0274,11368.302787366194,11333.648971287515,34.653816078678574,0.38852540475312136,11402.270842723356
11029.889648,2.0923,11316.239227463702,11311.148280673626,5.090946790076487,0.3976332891720035,11379.515345081461
11032.990234,1.8884,11272.662459238516,11290.543980920023,-17.881521681507365,0.3990094868852824,11358.07022336655
11028.019531,1.9428,11235.02508566336,11271.097725370393,-36.072639707033886,0.3974418258836919,11337.749192001389
10738.870117,1.8309,11158.693552022842,11231.673458083698,-72.97990606085659,0.3189418349537331,11306.064969249695
10940.530273,1.9188,11125.129970634713,11210.107296225648,-84.97732559093492,0.40692297819206796,11285.706424093414
11041.049805,1.8311,11112.194560537066,11197.584519097822,-85.38995856075599,0.445383338769525,11270.972889579545
11003.200195,1.6417,11095.426196608287,11183.185680275761,-87.75948366747434,0.43397141115692484,11272.207079788464
11013.44043,1.7863,11082.813001745473,11170.61195803311,-87.79895628763734,0.4381657781611556,11268.071605194886
